Group,Title,Dataset,table,Nation,Key,Description,start_date,nhsd_url,hdg_url
Primary,GPES data for pandemic planning and research (GDPPR),gdppr,gdppr,England,Dataset available ,"To support the response to the coronavirus outbreak, NHS Digital has established a central collection of GP patient data for COVID-19 purposes for the duration of the coronavirus emergency period.",1950-01,https://digital.nhs.uk/coronavirus/gpes-data-for-pandemic-planning-and-research/guide-for-analysts-and-users-of-the-data,https://web.www.healthdatagateway.org/dataset/696cfc9f-090d-4328-94ac-140760a77c73
Secondary Care,Hospital Episode Statistics (HES) Admitted Patient Care (APC),hes_apc_all_years,hes_apc,England,Dataset available ,"Hospital Episode Statistics (HES) contains records of all admissions, appointments and attendances at NHS hospitals in England. Records in the HES Admitted Patient Care (APC) database are called ‘hospital episodes’, and each hospital episode relates to a period of care for a patient under a single consultant within one hospital provider. A stay in hospital from admission to discharge is called a ‘spell’ and can be made up of one or more episodes of care.",1997-01,https://digital.nhs.uk/data-and-information/data-tools-and-services/data-services/hospital-episode-statistics,https://web.www.healthdatagateway.org/dataset/2b6409db-a669-4bef-9fd5-39c2b6f8d5e9
Secondary Care,Hospital Episode Statistics (HES) Critical Care (CC),hes_cc_all_years,hes_cc,England,Dataset available ,"Hospital Episode Statistics (HES) contains records of all admissions, appointments and attendances at NHS hospitals in England. HES Adult Critical Care (HES ACC) is a subset of HES Admitted Patient Care (HES APC) data. An Intensive Care Unit or High Dependency Unit ward in a hospital, known as a critical care unit, provides support, monitoring and treatment for critically ill patients requiring constant support and monitoring to maintain function in at least one organ, and often in multiple organs. Medical equipment is used to take the place of patients’ organs during their recovery.",2007-01,https://digital.nhs.uk/data-and-information/data-tools-and-services/data-services/hospital-episode-statistics,https://web.www.healthdatagateway.org/dataset/80564a6b-1458-41de-a131-772eb93c0509
Secondary Care,Hospital Episode Statistics (HES) Accident and Emergency (AE),hes_ae_all_years,hes_ae,England,Dataset available ,"Hospital Episode Statistics (HES) contains records of all admissions, appointments and attendances at NHS hospitals in England. HES Accident and Emergency (HES AE) is a record-level patient data set of patients attending Accident and Emergency Departments (including minor injury units and walk-in centres) in England. A record represents one attendance.",2007-01,https://digital.nhs.uk/data-and-information/data-tools-and-services/data-services/hospital-episode-statistics,https://web.www.healthdatagateway.org/dataset/3ddfccc3-ba32-4653-a999-966b8d6c412f
Secondary Care,Hospital Episode Statistics (HES) Outpatients (OP),hes_op_all_years,hes_op,England,Dataset available ,"Hospital Episode Statistics (HES) contains records of all admissions, appointments and attendances at NHS hospitals in England. HES OP is a record-level patient data set of patients attending outpatient clinics at NHS hospitals in England. A record represents one appointment.",2003-01,https://digital.nhs.uk/data-and-information/data-tools-and-services/data-services/hospital-episode-statistics,https://web.www.healthdatagateway.org/dataset/d4362d41-0838-4f41-bba3-c3268312c444
Secondary Care,,england1,hes_apc_mat,England,,,2000-01,,
Secondary Care,,hes_apc_acp_all_years,hes_apc_acp,England,,,2000-01,,
Secondary Care,,hes_ae_otr_all_years,hes_ae_otr,England,,,2000-01,,
Secondary Care,,england2,hes_apc_otr,England,,,2000-01,,
Secondary Care,,england3,hes_cc_otr,England,,,2000-01,,
Secondary Care,,england4,hes_op_otr,England,,,2000-01,,
Secondary Care,Secondary Uses Service (SUS),sus,sus,England,Dataset available ,"The Secondary Uses Service (SUS) is the single, comprehensive repository for healthcare data in England which enables a range of reporting and analyses to support the NHS in the delivery of healthcare services. SUS is a collection of health care data required by hospitals and used for planning health care, supporting payments, commissioning policy development and research.",2007-01,https://digital.nhs.uk/services/secondary-uses-service-sus,https://web.www.healthdatagateway.org/dataset/2004c512-f7c9-4995-b820-55f36aa3fad2
Secondary Care,Uncurated Low Latency Hospital Data - Admitted Patient Care,lowlat_apc_all_years,lowlat_apc,England,Dataset available ,"The Secondary Uses Service (SUS) is used to create additional uncurated data sets which offer access to more current, though less complete and assured, data. ",2010-01,https://digital.nhs.uk/services/data-access-request-service-dars/uncurated-low-latency-hospital-data-sets-for-admitted-patient-care-outpatient-and-critical-care,
Secondary Care,Uncurated Low Latency Hospital Data - Critical Care,lowlat_cc_all_years,lowlat_cc,England,Dataset available ,"The Secondary Uses Service (SUS) is used to create additional uncurated data sets which offer access to more current, though less complete and assured, data. ",2017-01,https://digital.nhs.uk/services/data-access-request-service-dars/uncurated-low-latency-hospital-data-sets-for-admitted-patient-care-outpatient-and-critical-care,
Secondary Care,Uncurated Low Latency Hospital Data - Outpatients,lowlat_op_all_years,lowlat_op,England,Dataset available ,"The Secondary Uses Service (SUS) is used to create additional uncurated data sets which offer access to more current, though less complete and assured, data. ",2018-01,https://digital.nhs.uk/services/data-access-request-service-dars/uncurated-low-latency-hospital-data-sets-for-admitted-patient-care-outpatient-and-critical-care,
Secondary Care,Emergency Care Data Set (ECDS),lowlat_ecds_all_years,lowlat_ecds,England,Dataset available ,"The Emergency Care Data Set (ECDS) is the national data set for urgent and emergency care. ECDS collects information about why people attend emergency departments and the treatment they receive to improve patient care through better and more consistent information, allow better planning of healthcare services and improve communication between health professionals. ",2018-01,https://digital.nhs.uk/services/data-access-request-service-dars/uncurated-low-latency-hospital-data-sets-for-admitted-patient-care-outpatient-and-critical-care,
Covid-19 Lab Tests,Second Generation Surveillance System (SGSS; Pillar 1 & 2 - positive results only),sgss,sgss,England,Dataset available ,"Covid-19 Second Generation Surveillance System (SGSS) includes demographic and diagnostic information concerning antigen test reports for COVID-19 in England. This dataset currently includes the first positive results from Pillar 1 (swab testing in PHE and NHS hospital labs), and Pillar 2 (swab testing in the wider population at drive through test centres, walk-in centres, home kits returned by post etc). Future flows are anticipated to include all positive, negative, void and inconclusive test results.",2020-01,https://digital.nhs.uk/about-nhs-digital/corporate-information-and-documents/directions-and-data-provision-notices/data-provision-notices-dpns/sgss-and-sari-watch-data,https://web.www.healthdatagateway.org/dataset/fede31c6-a9c5-4cfb-9866-9b58b2199cff
Covid-19 Lab Tests,Pillar 2 Antigen (positive and negative),covid_antigen_testing_pillar2,covid_antigen_testing_pillar3,England,Dataset available ,"Covid-19 UK non-hospital antigen testing results. Pillar 2 includes data on antigen swab COVID-19 testing, conducted via drive-through test centres, mobile testing units, satellite test centres, home testing and care home testing. It consists of records from the entire UK, but only English data is provided by default. Records from devolved nations need to specifically mention in the application.",2020-01,https://digital.nhs.uk/services/data-access-request-service-dars/dars-products-and-services/data-set-catalogue/covid-19-uk-non-hospital-antigen-testing-results-pillar-2,https://web.www.healthdatagateway.org/dataset/f06ec631-77d0-4b12-a21f-f11e7af49ba5
Covid-19 Lab Tests,Pillar 3 Antibody (positive and negative),covid_antibody_testing_pillar3,covid_antibody_testing_pillar4,England,Dataset available ,"The Covid-19 UK non-hospital antibody testing results (Pillar 3) dataset, also referred to as iElisa, documents individuals that have undergone a finger prick test for antibodies from having had Covid-19. The dataset is UK wide and contains positive, negative and void results. It also contains demographic data. Data available is in relation to specified cohorts which differ across geography and time. Data does not include the NHS Antibody tests as NHS Digital does not hold this data.",2020-01,,https://web.www.healthdatagateway.org/dataset/a77e52cc-d404-45d6-835f-32e2dc46778a
Covid-19 Lab Tests,Variant strain data (COG-UK),england5,,England,Dataset requested,The COVID-19 Genomics UK (COG-UK) Consortium has published a dataset which contains over 20K SARS-CoV-2 viral genome sequences available as open access.,2000-01,,https://web.www.healthdatagateway.org/dataset/1fe02b65-7b77-43bf-93c8-4f0743fee672
Covid-19 Vaccinations,Covid-19 vaccination events,vaccine_status,vaccine_status,England,Dataset available ,"Records individual vaccination events, details of the patients and batch information on the vaccine for anyone vaccinated within England, or those vaccinated in a Devolved Administration where this information was passed to England.",2020-01,https://digital.nhs.uk/services/data-access-request-service-dars/dars-products-and-services/data-set-catalogue/covid-19-vaccination-status-data,https://web.www.healthdatagateway.org/dataset/98372a87-f3e6-475d-be12-46c0f9587413
Covid-19 Vaccinations,Covid-19 vaccination adverse reactions,vaccine_adverse_reactions,vaccine_adverse_reactions,England,Dataset available ,"Records relating to patients who have had any adverse reaction to a COVID-19 vaccination, which occur within the first fifteen minutes after administration of the vaccine. Scope covers any adverse reactions that occur within the first 15 minutes after administration of the vaccine for vaccination events in England, or events from devolved administrations where this information was subsequently passed to England.",2020-01,https://digital.nhs.uk/services/data-access-request-service-dars/dars-products-and-services/data-set-catalogue/covid-19-vaccination-adverse-reaction-data,
Deaths,Civil Registry Deaths,deaths,deaths,England,Dataset available ,"The Civil Registration of Deaths data set contains details of all registered deaths in England and Wales since 1993, as provided by the ONS. The dataset contains basic demographics of the deceased person, cause of death, records of other diagnoses, which may – or may not – have directly contributed to the death and information about registration itself.",1988-01,https://digital.nhs.uk/services/data-access-request-service-dars/dars-products-and-services/cohort-management-products,https://web.www.healthdatagateway.org/dataset/050163dc-1728-4ac5-a7d9-4dd3ca0ca12a
ITU,ICNARC COVID,icnarc,icnarc,England,Dataset available ,Intensive Care National Audit & Research Centre (ICNARC) COVID-19 dataset covers adult patients (aged 18 years and over) in general critical care units who had a laboratory confirmed COVID-19 case in England since 12th December 2019.,2000-01,https://digital.nhs.uk/about-nhs-digital/corporate-information-and-documents/directions-and-data-provision-notices/data-provision-notices-dpns/icnarc-case-mix-adult-critical-care,https://web.www.healthdatagateway.org/dataset/0e6aaabb-0efc-4a69-a9a7-aa98888c04bd
ITU/HDU Admissions,COVID-19 SARI-Watch (formerly CHESS),chess,chess,England,Dataset available ,"Data forming the COVID-19 SARI-Watch data set (formerly CHESS) relate to demographic, risk factor, treatment, & outcome information for patients admitted to hospital with a confirmed COVID-19 diagnosis, as recorded in the COVID-19 SARI-Watch surveillance. Note that SARI Watch replaced the COVID-19 Hospitalisation in England Surveillance System (CHESS) which was initiated across all NHS Trusts in England on 15 March 2020. SARI Watch replaced CHESS in summer 2020 and collects the same data items as CHESS but includes infections other than COVID-19.",2019-01,https://digital.nhs.uk/about-nhs-digital/corporate-information-and-documents/directions-and-data-provision-notices/data-provision-notices-dpns/sgss-and-sari-watch-data,https://web.www.healthdatagateway.org/dataset/f61f116d-f732-450e-9d34-c6ae00e3fd1e
Prescribing/Dispensing,NHS BSA Dispensed Medicines,primary_care_meds,primary_care_meds,England,Dataset available ,"The Medicines Dispensed in Primary Care (NHSBSA) data comprises prescriptions for medicines that are dispensed or supplied by community pharmacists, appliance contractors and dispensing doctors in England. The data also includes: prescriptions submitted by prescribing doctors, for medicines personally administered in England; prescriptions written in England and dispensed outside of England; and prescriptions written in Wales, Scotland, Northern Ireland, the Isle of Man, Jersey and Guernsey but dispensed in England",2000-01,https://digital.nhs.uk/data-and-information/data-tools-and-services/data-services/medicines-dispensed-in-primary-care-nhsbsa-data,https://web.www.healthdatagateway.org/dataset/f201b68f-d995-4a70-a9ee-aa3510232777
Prescribing/Dispensing,Electronic Prescribing and Medicines Administration (EPMA),epma_administration,epma_administration,England,Dataset available ,Since December 2020 NHS Digital has established a daily collection of data from electronic prescription and administration systems. This data relating to medicines prescribed and administered to patients is sourced from secondary care NHS trusts in England.,2000-01,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-collections/electronic-prescribing-and-administration-epma-data-in-secondary-care,
Prescribing/Dispensing,,england6,epma_administration_dmd,England,Dataset available ,,2000-01,,
Prescribing/Dispensing,,england7,epma_administration_dosage,England,Dataset available ,,2000-01,,
Prescribing/Dispensing,,epma_prescription,epma_prescription,England,Dataset available ,,2000-01,,
Prescribing/Dispensing,,england8,epma_prescription_dmd,England,Dataset available ,,2000-01,,
Prescribing/Dispensing,,england9,epma_prescription_dosage,England,Dataset available ,,2000-01,,
Prescribing/Dispensing,,england10,epma_prescription_chemical,England,Dataset available ,,2000-01,,
NICOR CVD audits,Percutaneous Coronary Interventions (PCI),nicor_pci,nicor_pci,England,Dataset available ,The percutaneous coronary intervention (PCI - also referred to as 'angioplasty') audit collects information about all PCI procedures performed in all NHS hospitals and the majority of private hospitals in the UK.,2000-01,no NHS digital or Heatlh Data Gateway links - could add links to NICOR website (has quite good info on each dataset),
NICOR CVD audits,Myocardial Ischaemia National Audit Project (MINAP),nicor_minap,nicor_minap,England,Dataset available ,"The Myocardial Ischaemia National Audit Project (MINAP)  contains information about the care provided to patients who are admitted to hospital with acute coronary syndromes (heart attack). Data are collected and analysed to illustrate the ‘patient journey’ from a call to the emergency services or their self-presentation at an Emergency Department, through diagnosis and treatment at hospital, to the prescription of preventive medications on discharge.",2000-01,no NHS digital or Heatlh Data Gateway links - could add links to NICOR website (has quite good info on each dataset),
NICOR CVD audits,Heart Failure (NHFA),nicor_hf,nicor_hf,England,Dataset available ,The National Heart Failure Audit collects data on patients with an unscheduled admission to hospital in England and Wales who are discharged with a primary diagnosis of heart failure.,2000-01,no NHS digital or Heatlh Data Gateway links - could add links to NICOR website (has quite good info on each dataset),
NICOR CVD audits,Congenital Heart Disease (NCHDA),nicor_congenital,nicor_congenital,England,Dataset available ,"The National Congenital Heart Disease Audit (NCHDA) was set up in 2000, when known as Central Cardiac Audit Database (congenital), to assess outcomes after therapeutic paediatric and congenital cardiovascular procedures (surgery, transcatheter and electrophysiological interventions) in the UK and the Republic of Ireland (since 2012).",2000-01,no NHS digital or Heatlh Data Gateway links - could add links to NICOR website (has quite good info on each dataset),
NICOR CVD audits,Cardiac Rhthm Management (NACRM),nicor_crm_eps,,England,Dataset requested,The National Audit of Cardiac Rhythm Management (NACRM) collects information about all implanted cardiac devices and all patients receiving interventional procedures for management of cardiac rhythm disorders in the UK.,2000-01,no NHS digital or Heatlh Data Gateway links - could add links to NICOR website (has quite good info on each dataset),
NICOR CVD audits,National Adult Cardiac Surgery Audit (NACSA),nicor_acs_combined,,England,Dataset requested,The National Adult Cardiac Surgery Audit (NACSA) collects data on all major heart operations carried out on NHS patients in the UK. The NACSA collects consecutive operation data from all NHS hospitals in the UK that carry out adult heart surgery. A number of Irish and UK private surgical units also voluntarily submit data.,2000-01,no NHS digital or Heatlh Data Gateway links - could add links to NICOR website (has quite good info on each dataset),
NICOR CVD Audits,Transcatheter aortic valve implantation (TAVI),england11,,England,Dataset requested,The UK Transcatheter Aortic Valve Implantation (TAVI) registry has collected data about every TAVI procedure performed in the UK.,2000-01,,
Stroke Audit,Sentinel Stroke National Audit Programme (SSNAP),ssnap,ssnap,England,Dataset available ,"The Sentinel Stroke National Audit Programme (SSNAP) is a major national healthcare quality improvement programme based in the School of Life Course and Population Sciences at King’s College London.  SSNAP measures the quality and organisation of stroke care in the NHS and is the single source of stroke data in England, Wales, and Northern Ireland. This continuously ascertained, record-level dataset audit collects information on stroke patients in England, Wales and Northern Ireland in acute hospital, and follows recovery, rehabilitation, and outcomes at the point of 6 month assessment.",2000-01,https://digital.nhs.uk/about-nhs-digital/corporate-information-and-documents/directions-and-data-provision-notices/data-provision-notices-dpns/sentinel-stroke-ssnap-data-set,https://web.www.healthdatagateway.org/dataset/059a6495-a7d5-435b-8e2b-806c6ccccf2e
