Group,Title,Dataset,table,Nation,Key,Description,start_date,nhsd_url,hdg_url
National Vascular Registry,National Vascular Registry (NVR),england12,,England,Dataset requested,"The National Vascular Registry (NVR) is a national clinical audit commissioned by the Health Quality Improvement Partnership to measure quality of care for patients who undergo vascular surgery in NHS hospitals. The NVR collects data on the five main procedures performed by vascular specialists in the UK: the repair of abdominal aortic aneurysm; carotid endarterectomy; lower limb angioplasty/stenting, lower limb bypass and lower limb amputation for peripheral arterial disease. ",2000-01,https://digital.nhs.uk/about-nhs-digital/corporate-information-and-documents/directions-and-data-provision-notices/data-provision-notices-dpns/national-vascular-registry,https://web.www.healthdatagateway.org/search?search=national%20vascular%20registry&tab=Datasets
Other,Improving Access to Psychological Therapies (IAPT),iapt_care_activities_all_years,,England,Dataset available ,"The Improving Access to Psychological Therapies (IAPT) dataset collects information about people in contact with adult psychological therapy services in England. This national data set has been collected since April 2012 and is a mandatory submission for all NHS funded care, including care delivered by independent sector healthcare providers.",2000-01,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-sets/improving-access-to-psychological-therapies-data-set,https://web.www.healthdatagateway.org/dataset/bcf6e5ce-986d-4b84-9c9c-69de966e8bbd
Other,,iapt_care_activities_all_years,,England,,,2000-01,,
Other,,iapt_care_cluster_all_years,,England,,,2000-01,,
Other,,iapt_coded_scored_assessments_all_years,,England,,,2000-01,,
Other,,iapt_demographics_and_referral_all_years,,England,,,2000-01,,
Other,,iapt_employment_status_all_years,,England,,,2000-01,,
Other,,iapt_internet_enabled_therapies_all_years,,England,,,2000-01,,
Other,,iapt_onward_referrals_all_years,,England,,,2000-01,,
Other,Maternity Services Data Set,england13,,England,Dataset requested,"The Maternity Services Data Set (MSDS) is a patient-level data set that captures information about activity carried out by Maternity Services relating to a mother and baby(s), from the point of the first booking appointment until mother and baby(s) are discharged from the services. ",2000-01,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-sets/maternity-services-data-set,https://web.www.healthdatagateway.org/dataset/173d07ab-5930-4d19-b3de-dcca193e62fd
Other,Mental Health Services Data Set (MHSDS),england14,,England,Dataset requested,"The Mental Health Services Data Set (MHSDS) collects data from the health records of individual children, young people and adults who are in contact with mental health services.The MHSDS brings together information captured on clinical systems as part of patient care. It covers not only services provided in hospitals but also outpatient clinics and in the community, where the majority of people in contact with these services are treated.",2000-01,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-sets/mental-health-services-data-set,https://web.www.healthdatagateway.org/dataset/fa2ec63d-f76d-4555-8fc1-f4bd66e3c60d
Other,Mental Health of Children and Young People,england15,,England,Dataset requested,"This survey series provides England’s best source of data on trends in child mental health. Major surveys of the mental health of children and young people in England were carried out in 1999, 2004, and 2017. While many surveys use brief tools to screen for nonspecific psychiatric distress or dissatisfaction, this series applied rigorous, detailed and consistent methods to assess for a range of different types of disorder according to International Classification of Disease (ICD-10) diagnostic criteria. All cases were reviewed by clinically-trained raters.",2000-01,https://digital.nhs.uk/data-and-information/publications/statistical/mental-health-of-children-and-young-people-in-england,
Other,Patient Reported Outcome Measures,england16,,England,Dataset requested,"Patient Reported Outcome Measures (PROMs) measure health gain in patients undergoing hip replacement, knee replacement and up to September 2017, varicose vein and groin hernia surgery in England, based on responses to questionnaires before and after surgery.",2000-01,,https://web.www.healthdatagateway.org/dataset/2439a88e-d961-4152-a7b5-042097946209
,,england17,admin_lists,England,,,2000-01,,
Primary,Primary Care,scotland1,,Scotland,Dataset available ,? Not sure what this is,2000-01,,
Secondary Care,Outpatient Appointments and Attendances - Scottish Morbidity Record (SMR00),scotland2,,Scotland,Dataset available ,The Outpatients (SMR00) dataset collects episode level data from patients on new and follow-up appointments at outpatient clinics in all specialities (except A&E and Genito-Urinary Medicine). An SMR00 is generated for outpatients receiving care in the specialties listed when: they attend a medical consultant outpatient clinic; they meet with a consultant or senior member of his/her team outwith an outpatient clinic session (including the patient's home); they attend a clinic run by a nurse or an AHP identified as the Health Care Professional Responsible for Care for that clinic and who has legal and clinical responsibility for that patient.,2000-01,,
Secondary Care,General Acute Inpatient and Day Case - Scottish Morbidity Record (SMR01),scotland3,,Scotland,Dataset available ,"The General / Acute and Inpatient Day Case dataset (SMR01) collects episode level data on hospital inpatient and day case discharges from acute specialities from hospitals in Scotland. The dataset contains patient identifiers such as name, date of birth, Community Health Index number, NHS number, postcode and ethnicity and episode management data. Of particular interest to researchers would be variables such as where the episode took place, admission type (includes patient injury classifications such as self-inflicted or home accident), waiting times, patients condition (as classified under ICD-10), operations, and discharge location. A wide variety of geographical data is also included in the dataset including Scottish Index of Multiple Deprivation and Carstairs measures, census output area, NHS Board, Electoral Ward and Parliamentary constituency.",2000-01,,
Secondary Care,Accident & Emergency,scotland4,,Scotland,Dataset available ,"The Accident & Emergency (A&E) datamart was established in June 2007 to and contains data on patient attendances at Emergency departments, minor injury units and community hospital A&Es across NHS Scotland. In July 2010 the A&E data mart was extended further to collect items such as diagnosis, several injury fields and an alcohol involved flag, which will be used to identify whether the patient’s alcohol consumption was a factor in the attendance. There are two types of data submitted to the A&E datamart: episode and aggregate level data. All hospitals with Emergency Departments submit episode level data containing a detailed record for each patient attendance. Some smaller sites with minor injury units or community hospitals only submit aggregate files containing monthly summary attendance and compliance figures only. ",2000-01,,
Covid-19 Lab Tests,ECOSS,scotland5,,Scotland,Dataset available ,"PCR, LFT and antigen tests, multiple tests per person. ",2000-01,,
Covid-19 Lab Tests,Variant strain data (COG-UK),scotland6,,Scotland,Dataset available ,"The COVID-19 Genomics UK (COG-UK) consortium has published a dataset which contains over 20K SARS-CoV-2 viral genome sequences available as open access. COG-UK works with the UK Public Health Agencies, Health Data Research UK and other partners to ensure COG-UK SARS-CoV-2 sequencing data is available in a number of trusted research environments to enable accredited researchers to link to externally held datasets",2000-01,,
Covid-19 Vaccinations,Vaccination Data,scotland7,,Scotland,Dataset available ,"This dataset contains COVID-19 vaccination events in Scotland since December 2020. This includes information such as eligibility cohort, date of vaccination, and vaccination product.",2000-01,,
Deaths,Deaths,scotland8,,Scotland,Dataset available ,All registrations to the National Records of Scotland of deaths. The register contains detailed information about each person who has died in Scotland since 1 January 1855.,2000-01,,
ITU,SICSAG Daily/Episodes,scotland9,,Scotland,Dataset available ,The Scottish Intensive Care Society Audit Group (SICSAG) has maintained a national database of patients admitted to adult general Intensive Care Units (ICU) in Scotland since 1995. Each line relates to a day of stay in critical care.,2000-01,,
Prescribing/Dispensing,"Prescribing Information System (PIS): Dispensed, Prescribed, Paid",scotland10,,Scotland,Dataset available ,"The Prescribing Information System (PIS) is the definitive data source for all prescribing relating to all medicines and their costs that are prescribed and dispensed in the community in Scotland. The data covers prescriptions that are prescribed in Scotland by GPs (General Medical Practitioners) and other prescribers (nurses, pharmacists, dentists and allied health professionals (AHPs)) and subsequently dispensed by a community pharmacist, appliance supplier or dispensing doctor anywhere within the UK. Also included are prescriptions written in hospitals that were dispensed in the community. The data includes all medicines, dressings and appliances that were dispensed and reimbursed.",2000-01,,
Prescribing/Dispensing,ePrescribing,scotland11,,Scotland,Dataset requested,Is this HEPMA?,2000-01,,
Stroke Audit,Scottish Stroke Care Audit (SSCA),scotland12,,Scotland,Dataset available ,The Scottish Stroke Care Audit (SSCA) checks the quality of stroke care in hospitals in Scotland. The SSCA was established in 2002 and now includes all hospitals managing acute stroke in Scotland.,2000-01,,
Other,Diabetes Covariates,scotland13,,Scotland,Dataset available ,?? Can't find any details,2000-01,,
Other,Scottish Renal Registry,scotland14,,Scotland,Dataset available ,The Scottish Renal Registry is a national registry which collects and analyses data on patients who have been diagnosed with renal failure and other renal disorders in Scotland. ,2000-01,,
Other,Maternity Inpatient and Day Case - Scottish Morbidity Record (SMR02),scotland15,,Scotland,Dataset requested,"The Maternity Inpatient and Day Case dataset (SMR02) collects episode level data every time a mother goes in for an obstetric event (this can be an antenatal, delivery or postnatal episode). A wide range of information is collected including: Mother's age, height, smoking history and previous obstetric history; birth details - induction, analgesia, method of delivery, outcome; and baby's apgar score, sex, gestation, weight.",2000-01,,
Primary,General Practice Monthly/Daily COVID,wales1,,Wales,Dataset available ,?,2000-01,,
Secondary Care,Critical Care Dataset,wales2,,Wales,Dataset available ,"A good supplementary to hospital inpatient dataset (Patient Episode Dataset for Wales - PEDW), covers the period of critical care patient received, including intensity of care (e.g. bed levels, organ support), treatment specialty, and outcome. Contains a critical care specific fields giving greater granularity for patients under critical care.",2000-01,,
Secondary Care,Emergency Department Daily/Monthly,wales3,,Wales,Dataset available ,Administrative and clinical information for all NHS Wales Accident and Emergency department attendances. Includes the All Wales Injury Surveillance Systems (AWISS) dataset.,2000-01,,
Secondary Care,Outpatient Dataset for Wales,wales4,,Wales,Dataset available ,The Outpatient Dataset for Wales includes attendance information for all NHS Wales hospital outpatient appointments.,2000-01,,
Secondary Care,Outpatient Referral Dataset,wales5,,Wales,Dataset available ,"The Outpatient Referral Dataset includes data on outpatient referrals from primary care. This includes a complete referral pathway to secondary care, including all clinical referrals received from General Practitioner, General Dental Practitioners, Community Dental Services, A&E Departments, self referrals, walk-ins or emergency patients accompanied by a GP letter, and Consultant to Consultant Referrals.",2000-01,,
Secondary Care,Patient Episode Dataset,wales6,,Wales,Dataset available ,The Patient Episode Dataset for Wales (PEDW) contains all inpatient and day case activity undertaken in NHS Wales plus data on Welsh residents treated in English Trusts.,2000-01,,
Covid-19 Lab Tests,"LIMS (Pillar 1, 2, 3)",wales7,,Wales,Dataset available ,?,2000-01,,
Covid-19 Lab Tests,ONS COVID-19 Infection Survey,wales8,,Wales,Dataset requested,?,2000-01,,
Covid-19 Lab Tests,"Test, Trace & Protect",wales9,,Wales,Dataset available ,?,2000-01,,
Covid-19 Lab Tests,COVID-19 Shielded People List (CVSP),wales10,,Wales,Dataset available ,"The COVID-19 Shielded People list is a list of high-risk people advised to self-isolate during Covid pandemic. The Chief Medical Officer (CMO) for England, working with the CMOs of the devolved nations and other senior clinicians, commissioned NHS Digital to produce a list of people at “high risk” of complications from COVID-19, who should be shielded for at least 12 weeks. The CMO for Wales commissioned a collaboration of national bodies in Wales (NWIS, DU, NWSSP, PHW) to identify “high risk” people for the Welsh population, based largely on the NHS Digital methodology.",2000-01,,
Covid-19 Lab Tests,Variant strain data (COG-UK),wales11,,Wales,Dataset available ,? Can't find good description,2000-01,,
Covid-19 Vaccinations,Covid Vaccination Dataset,wales12,,Wales,Dataset available ,"The COVID-19 Vaccination Dataset covers all patients and vaccinations administered or planned for Covid-19, in or funded by the NHS. The dataset is de-identified record-level data of people who have received a vaccination for COVID-19, including details of the type of vaccine and date of vaccination.",2000-01,,
Deaths,Annual District Death Extract,wales13,,Wales,Dataset available ,"The Annual District Death Extract is a register of all deaths relating to Welsh residents, including those that died out of Wales.",2000-01,,
Deaths,COVID-19 Consolidated Death Data Source (CDDS),wales14,,Wales,Dataset available ,"The COVID-19 Consolidated Deaths Dataset (CDDs) is similar to the usual Annual District Deaths Dataset, except this dataset contains additional information with relevance to deaths where Covid-19 is attributable.",2000-01,,
ITU,ICNARC Quarterly/Weekly COVID,wales15,,Wales,Dataset available ,"The Intensive Care National Audit and Research Centre (ICCD) is a dataset of intensive care case mix and activity; this is the weekly COVID-19 only version of the dataset. It includes information preceding admission to intensive care e.g. date of hospital admission, and information about min and max values of critical indicator (e.g. lowest heart rate, highest serum glucose).",2000-01,,
Prescribing/Dispensing,Wales Dispensing Dataset,wales16,,Wales,Dataset available ,"The Welsh Dispensing Dataset covers prescriptions that are prescribed in Wales by GPs and non-medical prescribers that have prescribed on behalf of the GP practice, that are then dispensed in the community within Wales. The data includes all prescribed medicines, dressings and appliances that are dispensed each month. If a patient does not take a prescription to the pharmacy for dispensing, then the information will not be included in the dataset. Information includes - the number of prescription items dispensed by each community pharmacy in Wales, broken down by the GP practice in which they prescribed, and also the number of prescription items prescribed in each GP practice in Wales broken down by the pharmacy that dispensed those items.",2000-01,,
NICOR CVD Audits,NICOR Audits and Registers (pending approvals),wales17,,Wales,Dataset requested,? Same as NICOR datasets in england?,2000-01,,
Stroke Audit,HQIP Stroke Audit (pending approvals),wales18,,Wales,Dataset requested,? Same as SSNAP in england?,2000-01,,
National Vascular Registry,NVR (pending approvals),wales19,,Wales,Dataset requested,,2000-01,,
Other,Annual District Birth Extract (ABDE),wales20,,Wales,Dataset available ,Register of all births in Wales as provided by the Office for National Statistics (ONS). ,2000-01,,
Other,Care Home Dataset,wales21,,Wales,Dataset available ,The Care Home Dataset (CARE) contains residential and geographical information data about care homes in Wales.,2000-01,,
Other,Maternity Indicators Dataset (MIDS),wales22,,Wales,Dataset available ,The Maternity Indicators Dataset (MIDS) captures data relating to the woman at initial assessment and to mother and baby (or babies) for all births. This relates to initial assessment and birth activity undertaken in Wales only.,2000-01,,
Other,Congenital Anomaly Register (CARS),wales23,,Wales,Dataset available ,The Congenital Anomaly Register and Information Service (CARS) contains information about any foetus or baby who has or is suspected of having a congenital anomaly and whose mother is normally resident in Wales at time of birth. It includes babies in whom anomalies are diagnosed at any time from conception to the end of the first year of life. Data collection commenced on 1st January 1998 and includes any baby where pregnancy ended after this date.,2000-01,,
Other,National Community Child Health (NCCHD),wales24,,Wales,Dataset available ,"The National Community Child Health Database (NCCHD) includes birth registration and monitoring of child health examinations and immunisations. The dataset brings together data from local Child Health System databases which are held by NHS Trusts and used by them to administer child immunisation and health surveillance programmes. The dataset contains all children born, resident or treated in Wales and born after 1987.",2000-01,,
Other,ONS Census (2011),wales25,,Wales,Dataset available ,"A census in the UK is a count of all people and households. This census in the UK was held on 27 March 2011. All 2011 Census data for ‘Welsh’ records are defined as those:
Currently resident in Wales;
With a second address in Wales;
With a previous years address in Wales;
With a term-time address in Wales;
Who work in Wales (but live in England);
In Armed Forces Establishments in Wales;
Who are visitors in Wales;
Who are Welsh language speakers (including those who live and work outside of Wales).",2000-01,,
Other,Referral to Treatment Times (RTTD),wales26,,Wales,Dataset available ,Referral to Treatment Times (RTTD) contains information on the total time waited from referral by a GP or other medical practitioner to hospital treatment in the NHS.,2000-01,,
Other,SAIL Dementia e-Cohort (SDEC),wales27,,Wales,Dataset available ,"The SAIL Dementia e-Cohort (SDEC) dataset is a population-based electronic cohort containing health-related information on people with and without diagnosed dementia. By applying coding algorithms to linked routinely-collected datasets, a novel Dementia Platform UK (DPUK) cohort was developed to maximise generalisability and utility for a broad range of research questions and methodologies. It aims to minimise duplication of effort, increase reproducibility, reduce costs, and allow a broader range of researchers to apply to use SAIL data.",2000-01,,
Other,Welsh Ambulance Service Dataset (WASD),wales28,,Wales,Dataset available ,"The Welsh Ambulance Services NHS Trust data covers data pertaining to more than 250,000 emergency calls a year, over 50,000 urgent calls and transport over 1.3 million non-emergency patients to over 200 treatment centres throughout England and Wales. The ambulance services statistics show monthly data for Wales on the number of calls and the time taken to respond to an incident.",2000-01,,
Other,Welsh Results Reporting Service (WRRS),wales29,,Wales,Dataset available ,"The Welsh Results Reporting Service (WRRS) allows health care professionals across Wales to access laboratory results for pathology requests and any other associated results across all health boards in Wales, wherever they had their test taken.",2000-01,,
Other,Welsh Demographic Service,wales30,,Wales,Dataset available ,"The Welsh Demographic Service Dataset (WDSD) is a register of all individuals registered with a Welsh GP, includes individuals anonymised address and practice history.",2000-01,,